pile	volume	page	stratum	ja	en	fr	verdict	cause
base	Yushapati-01	DLRAW.APP_030	plain	冒険者をしつつ妹の看病もしているの	i'm taking care of my sister while being an adventurer.	Je m'occupe de ma sœur en étant aventurière.	ok	
base	Yushapati-01	DLRAW.APP_013	plain	本当に！？見たことない顔……冒険者…ではないわよね？	really?! a face that i've never seen ... adventurer ... isn't it?	vraiment ?! un visage que je n'ai jamais vu ... aventurier ... n'est-ce pas?	ok	
base	Yushapati-05	DLRAW.APP_0011	katakana	アイテムを持ち去るとダンジョンは崩壊します	If you take the items away, the dungeon will collapse.	Si vous enlevez les objets, le donjon s'effondrera.	ok	
base	Yushapati-05	DLRAW.APP_0037	plain	これで諦めてくれたら嬉しいんだが…	I'd be happy if you gave up on this...	Je serais heureux si tu abandonnais ça...	ok	
base	Isekai-01	DLRAW.TO-Met_129	plain	俺はごまかすやつは首をへし折りたくなるからな？	I'm a cheater because I want to break my neck, don't I?	Je suis un tricheur parce que je veux me briser le cou, non ?	wrong	ja-en
base	Sekai-01	DLRAW.NET-0014	plain	まるで恥がない	It's like there's no shame.	C'est comme s'il n'y avait pas de honte.	ok	
base	Zeccho-01	DLRAW.CC_018	plain	くっ来るなっ！！	Come on!	Allez !	wrong	ja-en
base	Yushapati-01	DLRAW.APP_006	tiny	魔術師	The Magician	Le magicien	ok	
base	Zeccho-02	DLRAW.CC_p_037	katakana	オラリフ	Oralif	Oralif	ok	
base	Zeccho-01	DLRAW.CC_031	plain	ジン君は知らないみたいだから説明したげるけど	Jin, you don't seem to know, so I'll explain.	Jin, tu ne sembles pas savoir, alors je vais t'expliquer.	ok	
base	Otome-Game-01	DLRAW.TO_p_008	plain	お…おうぼう	oh, oh, oh, oh, oh, oh, oh, oh, oh,	oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,	wrong	ja-en
base	Sekai-01	DLRAW.NET-0037	plain	おい起きろ	Hey, wake up.	Hé, réveille-toi.	ok	
base	Isekai-01	DLRAW.TO-Met_110	long	そんな不純なことを考えながら次なる問題を解決するべく商人組合に向かうと…	Thinking about such impureness, I went to the merchant union to solve the next problem ...	En pensant à une telle impureté, je suis allé au syndicat marchand pour résoudre le prochain problème...	ok	
base	Isekai-01	DLRAW.TO-Met_10	plain	赤子の時に拾われて育てられた恩を忘れおって！！	Forget the kindness that was picked up and raised when you were a baby! !	Oubliez la gentillesse qui a été ramassée et élevée quand vous étiez bébé! !	degraded	ja-en
base	Isekai-01	DLRAW.TO-Met_12	plain	おいっ！そやつを出立まで拘束しておけ！	hey!Keep him until he leaves!	Hé !Garde-le jusqu'à ce qu'il parte !	ok	
base	Zeccho-02	DLRAW.CC_p_003	plain	127ペ-ジ	127Peg	127Peg	wrong	ocr
base	Zeccho-02	DLRAW.CC_p_039	plain	ローサちゃんはいつも話し相手になってくれるしねぇ	Rosa always talks to me.	Rosa me parle toujours.	ok	
base	Otome-Game-01	DLRAW.TO_p_001	plain	第()4話	(The fourth)	(Le quatrième)	degraded	ocr
base	Yushapati-05	DLRAW.APP_0015	tiny	はい	yes.	Oui.	ok	
base	Sekai-01	DLRAW.NET-0010	plain	そうていがい想定外のこた答えーー	Well, that’s an unexpected answer.	Eh bien, c’est une réponse inattendue.	ok	
base	Sekai-01	DLRAW.NET-0007	plain	極度の意識により	by extreme awareness	par une conscience extrême	ok	
base	Isekai-01	DLRAW.TO-Met_100	plain	各村長から委託を受けております	We have been commissioned by the mayors of each village.	Nous avons été commandés par les maires de chaque village.	degraded	en-fr
base	Isekai-01	DLRAW.TO-Met_08	plain	百鬼 光太郎(享年32歳)	Kotaro Hyakuki (age 32)	Kotaro Hyakuki (32 ans)	degraded	ja-en
base	Yushapati-05	DLRAW.APP_0027	plain	わ…わかった	okay.	OK.	ok	
base	Otome-Game-01	DLRAW.TO_p_014	tiny	それは…	that's...	c'est...	ok	
base	Yushapati-05	DLRAW.APP_0023	plain	それじゃ攻略当日までは自由行動ってことで…	That is, until the day of the attack, it is free action ...	C'est-à-dire que jusqu'au jour de l'attaque, c'est la libre action...	ok	
base	Sekai-01	DLRAW.NET-0007	tiny	動なく	Unmoved.	Indémuné.	wrong	ocr
base	Isekai-01	DLRAW.TO-Met_109	plain	知識階層出身で優秀な巨乳の金髪美人はいないものか…	Is there anyone from the knowledge class who has a good big tits blonde beauty ...	Y a-t-il quelqu'un de la classe de connaissance qui a une bonne beauté blonde de gros seins ...	ok	
base	Yushapati-01	DLRAW.APP_008	plain	こんだけあれば今夜は旨いもんが食えるな	If you can do this, don't eat good food tonight.	Si vous pouvez le faire, ne mangez pas de bonne nourriture ce soir.	wrong	ja-en
base	Yushapati-05	DLRAW.APP_0007	plain	何言ってるの！	what are you talking about?	De quoi tu parles ?	ok	
base	Otome-Game-01	DLRAW.TO_p_014	plain	約束だったな…詳しく聞かせてくれ	It was a promise... let me know in detail.	C'était une promesse... faites-le moi savoir en détail.	ok	
base	Sekai-01	DLRAW.NET-0019	plain	どうしよう…手が触れた…	What can I do? My hands touched...	Que puis-je faire ? Mes mains touchaient...	ok	
base	Isekai-01	DLRAW.TO-Met_03	plain	漫画:ありのかまち	Comic: Yes, of course.	Comic: Oui, bien sûr.	wrong	credits
base	Isekai-01	DLRAW.TO-Met_122	plain	分かっておる夜が楽しみじゃ	i know. i'm looking forward to the night.	Je sais, j'attends la nuit avec impatience.	ok	
base	Sekai-01	DLRAW.NET-0011	plain	めちゃめちゃ生々しい話だった	it was a crazy story.	C'était une histoire folle.	ok	
base	Sekai-01	DLRAW.NET-0012	plain	私が確認の務めを任されてやってきた次第てす	it's up to me to do the job of confirmation.	C'est à moi de faire le travail de confirmation.	ok	
base	Yushapati-05	DLRAW.APP_0012	katakana	我々の戦力を増強することがダンジョン攻略の目的です	The purpose of the dungeon is to increase our forces.	Le but du donjon est d'augmenter nos forces.	degraded	ja-en
base	Yushapati-05	DLRAW.APP_0021	tiny	はっ	はっ	はっ	wrong	ja-en
base	Sekai-01	DLRAW.NET-0010	plain	書いてありました	it was written.	Il a été écrit.	ok	
base	Yushapati-01	DLRAW.APP_009	plain	あんなに嫌われていたのか……	He hated me so much...	Il me détestait tellement...	ok	
base	Yushapati-05	DLRAW.APP_0045	katakana	同じパーティーの	The same party.	Le même parti.	degraded	en-fr
base	Yushapati-05	DLRAW.APP_0036	plain	あの身のこなし…	That kind of...	Ce genre de...	degraded	ja-en
base	Sekai-01	DLRAW.NET-0003	plain	その昔勇者が魔王を倒して世界が平和になったらしい	It seems that the brave once defeated the demon king and the world became peaceful.	Il semble que les courageux ont vaincu le roi démon et le monde devenu pacifique.	degraded	ja-en
base	Isekai-01	DLRAW.TO-Met_123	plain	長らく歴代当主が内政を放置した結果	As a result of the long-standing owner's neglect of internal affairs	En raison de la négligence de longue date du propriétaire à l'égard des affaires intérieures	degraded	ja-en
base	Sekai-01	DLRAW.NET-0007	long	相手選んてください一応俺は男なのて…というのは建前で本当は俺は…	Please choose the other party For the time being, I am a man ... that is actually I ...	Veuillez choisir l'autre partie Pour le moment, je suis un homme ... c'est en fait je ...	degraded	ocr
base	Sekai-01	DLRAW.NET-0044	dialect	ほらほら触ってやろうかぁ？	Come on, let's touch it, okay?	Allez, on y touche, d'accord ?	ok	
base	Yushapati-05	DLRAW.APP_0035	plain	気を付けるのじゃ	be careful.	Soyez prudent.	ok	
base	Isekai-01	DLRAW.TO-Met_113	plain	年龄:21 性别:女種族:人族	Year 龄:21 性别:女 race: people	Année 龄:21 性别:女 race: personnes	wrong	ocr
base	Yushapati-01	DLRAW.APP_019	plain	まあ…それなら依頼を達成できるかもしれないが…	Well, then... you may be able to make a request, but...	Eh bien, alors... vous pourrez peut-être faire une demande, mais...	ok	
base	Otome-Game-01	DLRAW.TO_p_029	plain	いえ共和国を…	No, the Republic...	Non, la République...	ok	
base	Sekai-01	DLRAW.NET-0034	dialect	いやあ雷使うとしはらく目悪くなっちゃうんあははだよねもう大丈夫マジごめんね）ええと田端は…	Well, if you use lightning, it will be very bad. I'm sorry, it's okay.) Well, Tabata is ...	Si vous utilisez la foudre, ce sera très mauvais. Je suis désolé, c'est bon.) Eh bien, Tabata est...	degraded	ocr
base	Yushapati-01	DLRAW.APP_040	plain	な～に遠慮するな…	Don't be shy...	Ne soyez pas timide...	ok	
base	Zeccho-02	DLRAW.CC_p_025	long	それは放置すると衰弱死してしまう厄介なもので普段は温泉に入り体力回復することで対策しています	It's a troubling thing that, if you leave it alone, you're going to die of weakness, and you're usually taking measures by entering a hot spring and regaining your physical strength.	C'est une chose troublante que, si vous laissez cela tranquille, vous allez mourir de faiblesse, et vous prenez généralement des mesures en entrant dans une source chaude et en retrouvant votre force physique.	ok	
base	Sekai-01	DLRAW.NET-0023	tiny	いい句い	Good word.	Bonne parole.	wrong	ocr
base	Yushapati-01	DLRAW.APP_016	katakana	俺はパーティーに入るとは一言もでも…	I'm not going to go to a party, but I'm going to have a word...	Je ne vais pas aller à une fête, mais je vais avoir un mot...	wrong	ja-en
base	Otome-Game-01	DLRAW.TO_p_020	plain	兄貴…どういうこと？	Brother, what do you mean?	Frère, que voulez-vous dire ?	ok	
base	Yushapati-05	DLRAW.APP_0017	plain	逃げたとな	you said you ran away.	Tu as dit que tu t'étais enfuie.	ok	
base	Yushapati-05	DLRAW.APP_0019	plain	お前たちの国の奴がクレアを化け物呼ばわりした	The people of your country called Claire a monster.	Le peuple de votre pays a traité Claire de monstre.	ok	
base	Isekai-01	DLRAW.TO-Met_01	katakana	ハーレム戦記～	Harlem War	Guerre de Harlem	wrong	ja-en
base	Isekai-01	DLRAW.TO-Met_113	katakana	名前:イレーナ	Name: Irena	Nom: Irena	ok	
base	Sekai-01	DLRAW.NET-0031	dialect	今日もかわいい	Cute today.	Mignon aujourd'hui.	ok	
base	Otome-Game-01	DLRAW.TO_p_022	plain	平野を山と言い張るか	you're going to call the plain a mountain.	Vous allez appeler la plaine une montagne.	ok	
base	Yushapati-05	DLRAW.APP_0012	plain	そのため皆さんを第二皇女「護衛組」と	"That's why you call them the second princess ""guard group"""	"C'est pourquoi vous les appelez la deuxième princesse ""groupe de garde"""	ok	
base	Isekai-01	DLRAW.TO-Met_06	plain	何でこんなところに！？	why are you here?!	Pourquoi êtes-vous ici ?!	ok	
base	Zeccho-02	DLRAW.CC_p_008	plain	…だが百合の間に挟まる男は死刑だから見守るしかないな…	But the man who gets caught between the lilies is the death penalty, so you have to watch it ...	Mais l'homme qui se fait prendre entre les lys est la peine de mort, donc il faut le regarder...	ok	
base	Zeccho-01	DLRAW.CC_032	plain	そりゃこの街出身だもん	that's right, i'm from this city.	C'est vrai, je viens de cette ville.	ok	
base	Sekai-01	DLRAW.NET-0033	tiny	きゃ	きゃ	きゃ	wrong	ja-en
base	Yushapati-05	DLRAW.APP_0015	tiny	確かに…	Certainly...	Certainement...	ok	
base	Sekai-01	DLRAW.NET-0023	plain	あったかい	Warm.	Chaleureux.	degraded	en-fr
base	Zeccho-01	DLRAW.CC_039	plain	体力回復、魔力回復、怪我回復、	Physical recovery, recovery of magic, recovery of injury,	Récupération physique, récupération de magie, récupération de blessure,	ok	
base	Zeccho-02	DLRAW.CC_p_028	katakana	お願いしますオラリアさん…僕にできることはなんでもしますから	please, olariasan, i'll do whatever i can.	S'il vous plaît, olariasan, je ferai tout ce que je peux.	ok	
base	Zeccho-02	DLRAW.CC_p_029	long	部屋はジン君と同室で！サクヤが悪さしようとしたらジン君が止めることもしできなかったら次はない！	The room is with Jin!If Sakuya tries to do something wrong, Jin can't stop it, then there's no next one!	La chambre est avec Jin! Si Sakuya essaie de faire quelque chose de mal, Jin ne peut pas l'arrêter, alors il n'y en a pas de prochain!	ok	
base	Yushapati-01	DLRAW.APP_016	plain	シリカ魔術師	Silica Magician	Magicien de silice	wrong	en-fr
base	Zeccho-01	DLRAW.CC_025	plain	うんだからちょうどいい人手かなって	Yeah, that's just the right job.	Oui, c'est juste le bon travail.	degraded	ja-en
base	Sekai-01	DLRAW.NET-0021	plain	どうかしましたか？	what's wrong?	Qu'est-ce qui ne va pas ?	ok	
base	Sekai-01	DLRAW.NET-0007	plain	股間だけでなく	it's not just the crotch	Il n'y a pas que l'entrejambe	ok	
base	Sekai-01	DLRAW.NET-0037	katakana	しかし反抗して今みたいに電流食らうのは嫌だしそいうかファーストキスミまだ寝てんのか！？返事は！？	However, I don't like to resist and eat as much as I do now, and is the first kiss still sleeping? ?	Cependant, je n'aime pas résister et manger autant que maintenant, et le premier baiser dort-il encore? ? ?	degraded	ocr
base	Yushapati-05	DLRAW.APP_0019	plain	だから城をぶっ壊した文句あるか？	Do you have any complaints about breaking down the castle?	Avez-vous des plaintes pour avoir fait tomber le château ?	ok	
base	Otome-Game-01	DLRAW.TO_p_001	plain	第(0)3話	The (0) 3	Le (0) 3	degraded	ocr
